Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2017/7c3efa27-10b0-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269424279_14b66fdf-02d0-4982-ba8c-fa3cb7a391b2_pequena_leilo.webp,GO,2017,162.141 km,"R$ 30.300,00",Leilão ao vivo em: 4 dias 17h49m41s,24/06/2025
RENAULT/SANDERO STEPWAY ZEN,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-stepway-zen/ano.2023/1b4b3fce-e316-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267779301_8e31504d-5b76-47d8-8c9e-770b7b2e3ca9_pequena_leilo.webp,GO,2022,69.187 km,"R$ 37.300,00",Leilão ao vivo em: 4 dias 17h50m11s,24/06/2025
TOYOTA/HILUX CD SRX A 4FD,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srx-a-4fd/ano.2021/b87b701e-3b24-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267788809_38dd64e9-58b5-4f3d-ba29-5b7e043e1091_pequena_leilo.webp,GO,2021,43.836 km,"R$ 143.800,00",Leilão ao vivo em: 4 dias 17h50m41s,24/06/2025
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/e454abe9-707a-11ef-9f48-02420a0000f9,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274685612_b7a1080e-98f1-4b31-af8c-f34c887b539d_pequena_leilo.webp,GO,2009,218.624 km,"R$ 13.200,00",Leilão ao vivo em: 4 dias 17h51m10s,24/06/2025
VOLKSWAGEN/NOVO GOL TRENDLINE MBV (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-trendline-mbv-(4p%2F2p)/ano.2017/3630d0eb-7f4f-11ef-a1ff-02420a0000dd,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269384308_4f3f0358-0625-4885-b8e5-d4b86f1610dd_pequena_leilo.webp,GO,2016,272.279 km,"R$ 24.100,00",Leilão ao vivo em: 4 dias 17h52m10s,24/06/2025
HYUNDAI/HB20S PREMIUM (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20s-premium-(4p)/ano.2018/dd0a0207-4aa2-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275597311_badff89b-aece-4291-9b14-0ca8b524e62a_pequena_leilo.webp,DF,2017,117.599 km,"R$ 37.900,00",Leilão ao vivo em: 4 dias 17h53m40s,24/06/2025
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/d89a2658-a1f7-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269309278_8d35c1cd-35bc-49a0-85a9-2ca0286b7dc2_pequena_leilo.webp,GO,2018,102.737 km,"R$ 25.700,00",Leilão ao vivo em: 4 dias 17h54m9s,24/06/2025
VOLKSWAGEN/GOL MB5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2020/4ecae919-ab51-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269305738_71d990ca-730d-4c4b-b821-54cb089506c3_pequena_leilo.webp,GO,2019,114.030 km,"R$ 28.000,00",Leilão ao vivo em: 4 dias 17h54m39s,24/06/2025
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2013/07615c69-3d28-11ef-9bb1-02420a00002f,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2013,120.582 km,"R$ 55.300,00",Leilão ao vivo em: 4 dias 17h56m8s,24/06/2025
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2006/a4aa8148-3fae-11ef-9bb1-02420a00002f,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2005,161.151 km,"R$ 7.900,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
FIAT/PALIO FIRE WAY (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/palio-fire-way-(4p)/ano.2015/f9a95a0f-ae56-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269225129_b9193884-8407-490b-ad5f-dfca6ecdae3d_pequena_leilo.webp,GO,2014,200.022 km,"R$ 17.400,00",Leilão ao vivo em: 4 dias 17h57m8s,24/06/2025
AUDI/A4 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/a4-(4p)/ano.2011/3c09647e-b66d-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269215048_2c865aab-8aff-4010-b453-ddc0abb756b8_pequena_leilo.webp,GO,2011,121.580 km,"R$ 33.800,00",Leilão ao vivo em: 4 dias 17h57m37s,24/06/2025
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2017/12bf5590-b6fa-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269190148_ee4e19fc-049d-42aa-aa70-340667e0c818_pequena_leilo.webp,GO,2016,135.250 km,"R$ 24.400,00",Leilão ao vivo em: 4 dias 17h58m7s,24/06/2025
VOLKSWAGEN/FOX GII 1.6 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.6-(4p%2F2p)/ano.2013/bcc88e56-bbb3-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269156001_f233fc54-51b6-489d-87da-332467584f32_pequena_leilo.webp,GO,2012,218.898 km,"R$ 20.100,00",Leilão ao vivo em: 4 dias 17h59m7s,24/06/2025
RENAULT/OROCH INTENSE 1.6 M,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/oroch-intense-1.6-m/ano.2023/b99e4a40-bc79-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269125603_f5dbb741-709b-4e7e-80ab-3aa92d38777b_pequena_leilo.webp,GO,2022,139.512 km,"R$ 51.000,00",Leilão ao vivo em: 4 dias 18h6s,24/06/2025
NISSAN/TIIDA FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/tiida-flex-(4p)/ano.2013/19415cfb-750c-11ef-8b26-02420a000015,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2012,N/A,"R$ 17.300,00",Leilão: Leilão: 24/06/2025 Ter • 12:30,24/06/2025
CHEVROLET/PRISMA LTZ 1.4 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/prisma-ltz-1.4-mecanico-(4p)/ano.2019/141df465-d33d-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269069572_bdf2fb23-ccf5-4adf-83ff-b526d53f8dfe_pequena_leilo.webp,GO,2018,108.673 km,"R$ 35.200,00",Leilão ao vivo em: 4 dias 18h1m35s,24/06/2025
MITSUBISHI/ASX 4X4,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/asx-4x4/ano.2012/27e05d39-dd6a-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275915588_5d538706-f7b7-477f-b9ef-47bb057266b5_pequena_leilo.webp,GO,2011,204.765 km,"R$ 33.100,00",Leilão ao vivo em: 4 dias 18h2m5s,24/06/2025
VOLKSWAGEN/NOVO CROSSFOX SA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-crossfox-sa-(4p)/ano.2015/40106c34-e7a2-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750268953743_ae7d5179-aa6e-46ad-b36b-0b05d63c6169_pequena_leilo.webp,GO,2014,132.189 km,"R$ 27.200,00",Leilão ao vivo em: 4 dias 18h3m5s,24/06/2025
NISSAN/MARCH S FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/march-s-flex-(4p)/ano.2014/471b728b-e7ea-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270113399_ddd0412f-fdb1-401f-81fe-d9ae898a2202_pequena_leilo.webp,GO,2013,153.117 km,"R$ 19.500,00",Leilão ao vivo em: 4 dias 18h3m34s,24/06/2025
KIA/CERATO EX3 NB (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/kia/cerato-ex3-nb-(4p)/ano.2012/6b4b0a9d-e86f-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270092088_a8a9550b-25d2-4073-b775-fc3bdf680c62_pequena_leilo.webp,GO,2011,195.557 km,"R$ 20.800,00",Leilão ao vivo em: 4 dias 18h4m4s,24/06/2025
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-passion-xr-(4p)/ano.2012/93de9771-e8a2-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274592311_5c803d70-10b9-444d-8f38-5f59dd165d68_pequena_leilo.webp,GO,2011,149.832 km,"R$ 11.400,00",Leilão ao vivo em: 4 dias 18h4m34s,24/06/2025
PEUGEOT/408 ALLURE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/408-allure-(4p)/ano.2012/bd3a7a51-f383-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270055910_ca492ef0-5e0c-475c-8c57-1f37433b7873_pequena_leilo.webp,GO,2011,N/A,"R$ 16.000,00",Leilão ao vivo em: 4 dias 18h5m3s,24/06/2025
FORD/FOCUS HC FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/focus-hc-flex-(4p)/ano.2012/16789799-f5ce-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750270008295_f9e3ad46-d61d-4e60-b697-64e1a7d3027e_pequena_leilo.webp,GO,2012,177.860 km,"R$ 19.400,00",Leilão ao vivo em: 4 dias 18h5m32s,24/06/2025
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2019/7f22bb41-f690-11ef-9028-02420a000044,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269990135_a52d917c-8218-471e-a495-b7e3fb9ffb47_pequena_leilo.webp,GO,2018,100.873 km,"R$ 24.600,00",Leilão ao vivo em: 4 dias 18h6m2s,24/06/2025
FIAT/SIENA ATTRACTIVE (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/siena-attractive-(2p%2F4p)/ano.2016/76b7a8d9-04cd-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269944409_12b19a43-5d14-40cd-a980-7cfba5f6d6fc_pequena_leilo.webp,GO,2016,149.685 km,"R$ 21.900,00",Leilão ao vivo em: 4 dias 18h6m32s,24/06/2025
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/5ed81e23-fe74-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269967360_50ba5957-288a-46bc-9daa-02f00c059d33_pequena_leilo.webp,GO,2017,138.221 km,"R$ 25.700,00",Leilão ao vivo em: 4 dias 18h7m2s,24/06/2025
FIAT/UNO EVOLUTION (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-evolution-(4p)/ano.2015/08195487-ff57-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275872114_7cc201b9-5a08-41d4-9789-7f2182142b41_pequena_leilo.webp,GO,2014,134.016 km,"R$ 22.800,00",Leilão ao vivo em: 4 dias 18h7m31s,24/06/2025
HYUNDAI/HB20S PREMIUM (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-premium-(4p)/ano.2015/46a387a8-03f1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269913509_23feda40-c462-4ece-aa67-a4578af399dd_pequena_leilo.webp,GO,2014,186.825 km,"R$ 29.600,00",Leilão ao vivo em: 4 dias 18h8m0s,24/06/2025
FORD/FIESTA SD SEA (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/fiesta-sd-sea-(4p)/ano.2015/a94ed2d1-09b6-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269895585_e5816668-a48f-444f-bcb5-8a90873cb5ae_pequena_leilo.webp,GO,2015,273.987 km,"R$ 24.400,00",Leilão ao vivo em: 4 dias 18h8m30s,24/06/2025
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/31b6b530-0a42-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269853957_4d0ff86d-f220-4934-b1ce-baa8a2c94ceb_pequena_leilo.webp,GO,2009,294.172 km,"R$ 12.700,00",Leilão ao vivo em: 4 dias 18h8m52s,24/06/2025
